project,pair_id,language,expected_type,type_match_status,expected_scope,inspection_priority,relationship_shape,overall_relationship,dominant_region_type,matched_coverage_left,matched_coverage_right,unrelated_code_ratio,accepted_region_count,selected_region_count,suppressed_region_count,emitted_region_count,count_T1,count_T2,count_T3,count_T4_CONFIRMED,count_POSSIBLE_T4_CANDIDATE,count_NON_CLONE,coverage_T1,coverage_T2,coverage_T3,coverage_T4_CONFIRMED,coverage_POSSIBLE_T4_CANDIDATE,coverage_NON_CLONE,file_tags,first_regions,runtime_ms,transformation_tag,difficulty,limitation_tag,notes
LongCallChain,java_long_call_chain_sensor_02,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.876712,0.834783,0.165217,671,14,657,13,0,12,1,0,0,0,0.0,0.767123,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:SensorQualityA.checksumBonus(String[],String)->SensorQualityE.checksumBonus(String[],String)|T2:SensorQualityA.distributionScore(int[])->SensorQualityE.distributionScore(int[])|T2:SensorQualityA.explainSensorQualityScore(int[],String[],String)->SensorQualityE.explainSensorQualityScore(int[],String[],String)|T2:SensorQualityA.hasStableWindow(int[],int)->SensorQualityE.hasStableWindow(int[],int)|T2:SensorQualityA.normalizeToken(String)->SensorQualityE.normalizeToken(String)",7107,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_sensor_02,JAVA,NON_CLONE,True,UNKNOWN,LOW,LOCAL_SIMILARITIES_ONLY,MOSTLY_NON_CLONE,T3,0.109589,0.225131,0.890411,10,7,3,7,0,4,3,0,0,0,0.0,0.08377,0.183246,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.countLinesWithDigits(String[]) statements 1-3|T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.countWords(String[]) statements 1-3|T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.estimateWrappedLineCount(String[],int) statements 1-3|T2:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-3->SensorQualityUnrelatedZ.longestLine(String[]) statements 1-3|T3:SensorQualityA.scoreSensorQualityLabels(String[]) statements 1-5->SensorQualityUnrelatedZ.countWords(String[]) body",6343,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_invoice_03,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.922374,0.918182,0.081818,743,15,728,14,14,0,0,0,0,0,0.922374,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditA.checksumBonus(String[],String)|T1:InvoiceAuditA.distributionScore(int[])->InvoiceAuditA.distributionScore(int[])|T1:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditA.evaluate(int[],String[],String,int)|T1:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)|T1:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditA.hasStableWindow(int[],int)",6789,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_invoice_03,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.922374,0.922374,0.077626,743,15,728,14,0,14,0,0,0,0,0.0,0.922374,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditB.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditB.distributionScore(int[])|T2:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditB.compute(int[],String[],String,int)|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditB.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditB.hasStableWindow(int[],int)",7293,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_invoice_03,JAVA,T3,False,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.923767,0.077626,718,15,703,14,0,13,1,0,0,0,0.0,0.812785,0.125561,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditC.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditC.distributionScore(int[])|T2:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditC.compute(int[],String[],String,int)|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditC.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditC.hasStableWindow(int[],int)",7346,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_invoice_03,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.922374,0.077626,709,15,694,14,0,13,1,0,0,0,0.0,0.812785,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditD.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditD.distributionScore(int[])|T2:InvoiceAuditA.evaluate(int[],String[],String,int)->InvoiceAuditD.compute(int[],String[],String,int)|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditD.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditD.hasStableWindow(int[],int)",6878,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_invoice_03,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.876712,0.834783,0.165217,671,14,657,13,0,12,1,0,0,0,0.0,0.767123,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.checksumBonus(String[],String)->InvoiceAuditE.checksumBonus(String[],String)|T2:InvoiceAuditA.distributionScore(int[])->InvoiceAuditE.distributionScore(int[])|T2:InvoiceAuditA.explainInvoiceAuditScore(int[],String[],String)->InvoiceAuditE.explainInvoiceAuditScore(int[],String[],String)|T2:InvoiceAuditA.hasStableWindow(int[],int)->InvoiceAuditE.hasStableWindow(int[],int)|T2:InvoiceAuditA.normalizeToken(String)->InvoiceAuditE.normalizeToken(String)",6960,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_invoice_03,JAVA,NON_CLONE,True,UNKNOWN,LOW,LOCAL_SIMILARITIES_ONLY,MOSTLY_NON_CLONE,T3,0.109589,0.225131,0.890411,10,7,3,7,0,4,3,0,0,0,0.0,0.08377,0.183246,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:InvoiceAuditA.scoreInvoiceAuditLabels(String[]) statements 1-3->InvoiceAuditUnrelatedZ.countLinesWithDigits(String[]) statements 1-3|T2:InvoiceAuditA.scoreInvoiceAuditLabels(String[]) statements 1-3->InvoiceAuditUnrelatedZ.countWords(String[]) statements 1-3|T2:InvoiceAuditA.scoreInvoiceAuditLabels(String[]) statements 1-3->InvoiceAuditUnrelatedZ.estimateWrappedLineCount(String[],int) statements 1-3|T2:InvoiceAuditA.scoreInvoiceAuditLabels(String[]) statements 1-3->InvoiceAuditUnrelatedZ.longestLine(String[]) statements 1-3|T3:InvoiceAuditA.scoreInvoiceAuditLabels(String[]) statements 1-5->InvoiceAuditUnrelatedZ.countWords(String[]) body",6309,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_student_04,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.922374,0.918182,0.081818,743,15,728,14,14,0,0,0,0,0,0.922374,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:StudentProfileA.checksumBonus(String[],String)->StudentProfileA.checksumBonus(String[],String)|T1:StudentProfileA.distributionScore(int[])->StudentProfileA.distributionScore(int[])|T1:StudentProfileA.evaluate(int[],String[],String,int)->StudentProfileA.evaluate(int[],String[],String,int)|T1:StudentProfileA.explainStudentProfileScore(int[],String[],String)->StudentProfileA.explainStudentProfileScore(int[],String[],String)|T1:StudentProfileA.hasStableWindow(int[],int)->StudentProfileA.hasStableWindow(int[],int)",6581,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_student_04,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.922374,0.922374,0.077626,743,15,728,14,0,14,0,0,0,0,0.0,0.922374,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:StudentProfileA.checksumBonus(String[],String)->StudentProfileB.checksumBonus(String[],String)|T2:StudentProfileA.distributionScore(int[])->StudentProfileB.distributionScore(int[])|T2:StudentProfileA.evaluate(int[],String[],String,int)->StudentProfileB.compute(int[],String[],String,int)|T2:StudentProfileA.explainStudentProfileScore(int[],String[],String)->StudentProfileB.explainStudentProfileScore(int[],String[],String)|T2:StudentProfileA.hasStableWindow(int[],int)->StudentProfileB.hasStableWindow(int[],int)",6691,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_student_04,JAVA,T3,False,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.923767,0.077626,718,15,703,14,0,13,1,0,0,0,0.0,0.812785,0.125561,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:StudentProfileA.checksumBonus(String[],String)->StudentProfileC.checksumBonus(String[],String)|T2:StudentProfileA.distributionScore(int[])->StudentProfileC.distributionScore(int[])|T2:StudentProfileA.evaluate(int[],String[],String,int)->StudentProfileC.compute(int[],String[],String,int)|T2:StudentProfileA.explainStudentProfileScore(int[],String[],String)->StudentProfileC.explainStudentProfileScore(int[],String[],String)|T2:StudentProfileA.hasStableWindow(int[],int)->StudentProfileC.hasStableWindow(int[],int)",7203,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_student_04,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.922374,0.077626,709,15,694,14,0,13,1,0,0,0,0.0,0.812785,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:StudentProfileA.checksumBonus(String[],String)->StudentProfileD.checksumBonus(String[],String)|T2:StudentProfileA.distributionScore(int[])->StudentProfileD.distributionScore(int[])|T2:StudentProfileA.evaluate(int[],String[],String,int)->StudentProfileD.compute(int[],String[],String,int)|T2:StudentProfileA.explainStudentProfileScore(int[],String[],String)->StudentProfileD.explainStudentProfileScore(int[],String[],String)|T2:StudentProfileA.hasStableWindow(int[],int)->StudentProfileD.hasStableWindow(int[],int)",6800,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_student_04,JAVA,T4_WEAK,exploratory,MIXED,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.876712,0.834783,0.165217,671,14,657,13,0,12,1,0,0,0,0.0,0.767123,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:StudentProfileA.checksumBonus(String[],String)->StudentProfileE.checksumBonus(String[],String)|T2:StudentProfileA.distributionScore(int[])->StudentProfileE.distributionScore(int[])|T2:StudentProfileA.explainStudentProfileScore(int[],String[],String)->StudentProfileE.explainStudentProfileScore(int[],String[],String)|T2:StudentProfileA.hasStableWindow(int[],int)->StudentProfileE.hasStableWindow(int[],int)|T2:StudentProfileA.normalizeToken(String)->StudentProfileE.normalizeToken(String)",7205,CALL_CHAIN_REFACTOR,L4,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_student_04,JAVA,NON_CLONE,True,UNKNOWN,LOW,LOCAL_SIMILARITIES_ONLY,MOSTLY_NON_CLONE,T3,0.109589,0.225131,0.890411,10,7,3,7,0,4,3,0,0,0,0.0,0.08377,0.183246,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_DELETED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:StudentProfileA.scoreStudentProfileLabels(String[]) statements 1-3->StudentProfileUnrelatedZ.countLinesWithDigits(String[]) statements 1-3|T2:StudentProfileA.scoreStudentProfileLabels(String[]) statements 1-3->StudentProfileUnrelatedZ.countWords(String[]) statements 1-3|T2:StudentProfileA.scoreStudentProfileLabels(String[]) statements 1-3->StudentProfileUnrelatedZ.estimateWrappedLineCount(String[],int) statements 1-3|T2:StudentProfileA.scoreStudentProfileLabels(String[]) statements 1-3->StudentProfileUnrelatedZ.longestLine(String[]) statements 1-3|T3:StudentProfileA.scoreStudentProfileLabels(String[]) statements 1-5->StudentProfileUnrelatedZ.countWords(String[]) body",6369,UNRELATED,L3,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_shipment_05,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.922374,0.918182,0.081818,743,15,728,14,14,0,0,0,0,0,0.922374,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,"T1:ShipmentPlanA.checksumBonus(String[],String)->ShipmentPlanA.checksumBonus(String[],String)|T1:ShipmentPlanA.distributionScore(int[])->ShipmentPlanA.distributionScore(int[])|T1:ShipmentPlanA.evaluate(int[],String[],String,int)->ShipmentPlanA.evaluate(int[],String[],String,int)|T1:ShipmentPlanA.explainShipmentPlanScore(int[],String[],String)->ShipmentPlanA.explainShipmentPlanScore(int[],String[],String)|T1:ShipmentPlanA.hasStableWindow(int[],int)->ShipmentPlanA.hasStableWindow(int[],int)",7379,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_shipment_05,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.922374,0.922374,0.077626,743,15,728,14,0,14,0,0,0,0,0.0,0.922374,0.0,0.0,0.0,0.0,RENAMING_DETECTED,"T2:ShipmentPlanA.checksumBonus(String[],String)->ShipmentPlanB.checksumBonus(String[],String)|T2:ShipmentPlanA.distributionScore(int[])->ShipmentPlanB.distributionScore(int[])|T2:ShipmentPlanA.evaluate(int[],String[],String,int)->ShipmentPlanB.compute(int[],String[],String,int)|T2:ShipmentPlanA.explainShipmentPlanScore(int[],String[],String)->ShipmentPlanB.explainShipmentPlanScore(int[],String[],String)|T2:ShipmentPlanA.hasStableWindow(int[],int)->ShipmentPlanB.hasStableWindow(int[],int)",7024,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_shipment_05,JAVA,T3,False,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.923767,0.077626,718,15,703,14,0,13,1,0,0,0,0.0,0.812785,0.125561,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED|STATEMENT_INSERTED|STATEMENT_MODIFIED,"T2:ShipmentPlanA.checksumBonus(String[],String)->ShipmentPlanC.checksumBonus(String[],String)|T2:ShipmentPlanA.distributionScore(int[])->ShipmentPlanC.distributionScore(int[])|T2:ShipmentPlanA.evaluate(int[],String[],String,int)->ShipmentPlanC.compute(int[],String[],String,int)|T2:ShipmentPlanA.explainShipmentPlanScore(int[],String[],String)->ShipmentPlanC.explainShipmentPlanScore(int[],String[],String)|T2:ShipmentPlanA.hasStableWindow(int[],int)->ShipmentPlanC.hasStableWindow(int[],int)",7077,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_shipment_05,JAVA,T4_WEAK,exploratory,FULL,HIGH,FULL_OVERLAP,MIXED_CLONE_TYPES,T2,0.922374,0.922374,0.077626,709,15,694,14,0,13,1,0,0,0,0.0,0.812785,0.109589,0.0,0.0,0.0,RENAMING_DETECTED|STATEMENT_MODIFIED,"T2:ShipmentPlanA.checksumBonus(String[],String)->ShipmentPlanD.checksumBonus(String[],String)|T2:ShipmentPlanA.distributionScore(int[])->ShipmentPlanD.distributionScore(int[])|T2:ShipmentPlanA.evaluate(int[],String[],String,int)->ShipmentPlanD.compute(int[],String[],String,int)|T2:ShipmentPlanA.explainShipmentPlanScore(int[],String[],String)->ShipmentPlanD.explainShipmentPlanScore(int[],String[],String)|T2:ShipmentPlanA.hasStableWindow(int[],int)->ShipmentPlanD.hasStableWindow(int[],int)",6824,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
